locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_3006	4.0	3.0	5.0	4.0	3.0	6.0	4.0	6.0
BOH78_3008			1.0	3.0				
BOH78_2950	26.0	25.0	34.0	28.0	31.0	31.0	25.0	23.0
BOH78_2953	1.0	1.0	1.0	1.0	1.0		1.0	1.0
BOH78_2954	5.0	4.0	6.0	6.0	5.0	4.0	4.0	5.0
BOH78_2955	7.0	4.0	5.0	6.0	5.0	3.0	3.0	4.0
BOH78_2956		1.0			1.0			
BOH78_2957					1.0			
BOH78_2958	8.0	2.0	1.0	2.0	7.0	1.0	1.0	1.0
BOH78_2936	2.0	1.0		2.0	2.0	1.0	2.0	1.0
BOH78_2934	2.0	2.0	2.0	5.0	4.0	3.0	3.0	1.0
BOH78_2930	8.0	8.0	9.0	10.0	10.0	8.0	8.0	11.0
BOH78_2919				1.0	1.0	1.0		
BOH78_2916	8.0	9.0	9.0	8.0	8.0	10.0	3.0	6.0
BOH78_2917	23.0	16.0	16.0	12.0	30.0	19.0	11.0	15.0
BOH78_2912	1.0		1.0	1.0				
BOH78_2913	1.0	2.0	1.0	3.0	2.0		4.0	
BOH78_2899	1.0	1.0			1.0			1.0
BOH78_2898	49.0	40.0	46.0	50.0	61.0	43.0	43.0	43.0
BOH78_2891	2.0	2.0	1.0	2.0	2.0	2.0	1.0	
BOH78_2890	8.0	12.0	12.0	9.0	11.0	6.0	7.0	9.0
BOH78_2893	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
BOH78_2892			3.0	2.0			1.0	1.0
BOH78_2895				1.0	1.0			
BOH78_2897	1.0			1.0	1.0			1.0
BOH78_2896	3.0	1.0	3.0	4.0	3.0		2.0	1.0
BOH78_2994							16.0	
BOH78_2995					1.0	1.0	1.0	
BOH78_2990				1.0				
BOH78_2991	13.0	12.0	9.0	12.0	11.0	11.0	12.0	12.0
BOH78_2992	41.0	45.0	35.0	36.0	59.0	47.0	46.0	34.0
BOH78_2993	1.0	1.0	4.0	6.0	2.0	2.0	12.0	4.0
BOH78_2998	1.0	1.0		1.0				
BOH78_2999			1.0					
BOH78_2877	8.0	9.0	5.0	8.0	5.0	7.0	4.0	4.0
BOH78_2961	2.0		3.0	1.0	2.0		2.0	
BOH78_2963	3.0	2.0	1.0	2.0		1.0	4.0	2.0
BOH78_2962							1.0	
BOH78_2965	50.0	43.0	59.0	50.0	53.0	43.0	81.0	54.0
BOH78_2964		1.0	1.0	1.0		1.0	1.0	1.0
BOH78_2967		2.0	1.0	1.0	2.0	2.0	1.0	
